best_rank,worst_rank,avg_rank,initial_rank,rank_improvement,rank_range,rank_volatility,avg_daily_rank_change,peak_popularity,avg_popularity,popularity_gap,playlist_entries,days_to_peak,stability_score
18,29,25.25,18,0,11,5.188127472091127,5.0,66,63.5,2.5,4,0,0.6463990953709778
30,43,35.07692307692308,43,13,13,4.251696493980146,2.4166666666666665,64,60.69230769230769,3.3076923076923066,13,10,2.475390574246149
49,49,49.0,49,0,0,0.0,0.0,92,92.0,0.0,2,0,2.0
10,50,29.03553299492386,37,27,40,10.877507046005332,2.3316326530612246,82,80.01015228426395,1.9898477157360477,197,10,16.67016481093916
49,49,49.0,49,0,0,0.0,0.0,64,64.0,0.0,1,0,1.0
11,34,20.72897196261682,16,5,23,5.407140794789625,2.0943396226415096,79,77.46728971962617,1.5327102803738342,107,8,17.01226857518728
1,21,3.128205128205128,9,8,20,3.812579505155388,1.1842105263157894,84,77.8974358974359,6.102564102564102,39,5,8.103762225272737
45,45,45.0,45,0,0,0.0,0.0,0,0.0,0.0,1,0,1.0
11,50,31.025316455696203,48,37,39,9.65291862804186,3.128205128205128,87,83.37974683544304,3.620253164556957,79,8,7.979034006347617
36,36,36.0,36,0,0,0.0,0.0,0,0.0,0.0,1,0,1.0
22,50,35.85057471264368,25,3,28,6.824253491216189,1.7674418604651163,91,87.17241379310344,3.827586206896555,87,4,14.31446464838282
14,20,18.0,14,0,6,3.4641016151377544,3.0,44,26.0,18.0,3,0,0.6720277132193876
37,48,42.5,48,11,11,7.7781745930520225,11.0,73,68.5,4.5,2,3,0.4556756028942537
4,50,21.725,50,46,46,13.649979978191103,1.5913978494623655,85,81.70357142857142,3.296428571428578,280,64,19.24917306506925
4,50,11.854545454545455,50,46,46,8.535770780604166,1.275229357798165,89,84.74545454545455,4.25454545454545,110,21,11.745248766655434
22,50,38.57142857142857,22,0,28,9.661296980253706,2.1538461538461537,72,59.142857142857146,12.857142857142854,14,0,2.4387276752683875
23,42,29.65,40,17,19,5.659412281184421,2.210526315789474,62,57.55,4.450000000000003,20,5,3.3035948325588804
1,49,24.06422018348624,3,2,48,15.083272086651464,1.1574074074074074,73,69.22018348623853,3.7798165137614745,109,2,6.901580685943006
34,49,41.55555555555556,34,0,15,3.940530139178965,3.125,70,60.22222222222222,9.77777777777778,9,0,2.4288891398189514
29,45,37.75,45,16,16,6.701989754294367,9.0,64,61.25,2.75,4,4,0.9088560519178877
27,48,36.090225563909776,31,4,21,5.841931299867524,1.8484848484848484,94,92.06766917293233,1.9323308270676731,133,11,33.76239688411848
24,48,39.333333333333336,24,0,24,13.316656236958783,12.0,73,47.0,26.0,3,0,0.2793948484754356
28,49,36.407407407407405,46,18,21,6.535461017575632,3.1923076923076925,75,74.62962962962963,0.3703703703703667,27,6,3.8484705756370703
3,4,3.5,3,0,1,0.5773502691896257,0.3333333333333333,71,68.75,2.25,4,0,2.5358983848622456
42,42,42.0,42,0,0,0.0,0.0,61,61.0,0.0,1,0,1.0
41,49,44.0,41,0,8,2.768874620972692,2.1666666666666665,82,81.71428571428571,0.2857142857142918,7,0,1.857318352021326
5,6,5.5,6,1,1,0.5773502691896257,1.0,70,67.0,3.0,4,1,2.5358983848622456
1,50,18.339622641509433,3,2,49,15.696574094890916,1.5192307692307692,92,90.8490566037736,1.1509433962263955,53,1,3.1743038840655213
31,46,37.666666666666664,38,7,15,5.702964976554696,4.285714285714286,76,70.46666666666667,5.533333333333331,15,2,2.387003371786071
50,50,50.0,50,0,0,0.0,0.0,63,61.0,2.0,2,0,2.0
29,50,40.854166666666664,50,21,21,6.493825490690835,3.1702127659574466,100,99.77083333333331,0.2291666666666856,48,76,11.342671390679008
30,49,38.11764705882353,36,6,19,6.9181134796739965,5.5,93,91.11764705882354,1.882352941176464,17,2,2.7784395937838693
19,50,32.904761904761905,48,29,31,8.389903228910104,4.3,100,97.85714285714286,2.142857142857139,21,14,3.0884237348382197
15,50,27.466666666666665,50,35,35,10.062531761666415,1.931818181818182,83,80.77777777777777,2.2222222222222285,45,14,4.158180151798338
32,50,41.0,32,0,18,12.727922061357855,18.0,76,38.0,38.0,2,0,0.5099096548416459
38,50,45.45454545454545,44,6,12,5.145165427148799,1.8,77,73.18181818181819,3.818181818181813,11,1,1.790025041702371
46,50,48.36363636363637,47,1,4,1.501514387059096,1.5,77,72.0,5.0,11,13,14.791040256018286
23,39,32.6,23,0,16,8.763560920082657,4.0,83,63.4,19.6,5,0,0.5121082401109933
15,47,27.458823529411763,47,32,32,7.271197158876198,3.392857142857143,71,65.58823529411765,5.411764705882348,85,57,10.276626027319711
12,47,31.666666666666668,12,0,35,13.232355727353998,2.5,90,80.86666666666666,9.13333333333334,15,0,1.0539365574716926
16,50,29.921259842519685,17,1,34,9.585543264209974,1.3333333333333333,93,91.1968503937008,1.8031496062992003,127,6,12.75324247707143
49,49,49.0,49,0,0,0.0,0.0,62,62.0,0.0,1,0,1.0
29,50,39.5,29,0,21,14.849242404917495,21.0,62,60.0,2.0,2,0,0.1261889968557403
1,20,4.133333333333334,1,0,19,5.617150607948923,2.2857142857142856,80,79.66666666666667,0.3333333333333286,15,0,2.2668367230422546
8,50,26.761904761904763,8,0,42,15.026326104223754,4.9,75,72.76190476190476,2.238095238095241,21,0,6.426925255992029
5,48,14.462962962962964,33,28,43,8.60819982399339,1.3354037267080745,81,78.14197530864197,2.8580246913580254,162,67,17.172831854304857
14,50,33.628571428571426,46,32,36,11.78504963748491,4.147058823529412,92,87.65714285714286,4.342857142857142,35,7,2.9722215460616237
9,48,35.4,9,0,39,9.536925142647949,2.911764705882353,83,78.88571428571429,4.114285714285714,35,0,3.321652144830977
13,38,28.875,31,18,25,6.878711119582407,4.666666666666667,88,86.5,1.5,16,4,2.030789015760746
9,50,26.666666666666668,9,0,41,17.81759430076537,8.2,78,63.333333333333336,14.666666666666664,6,0,0.3188505344573169
26,50,37.5,26,0,24,8.043631020876083,6.0,75,71.33333333333333,3.6666666666666714,6,0,0.6634503316366795
48,48,48.0,48,0,0,0.0,0.0,55,55.0,0.0,1,0,1.0
13,50,35.172413793103445,13,0,37,9.971634647185276,3.2142857142857144,79,73.62068965517241,5.379310344827587,29,0,2.643179519966956
1,48,20.294117647058822,1,0,47,11.818472682801476,1.4733727810650887,87,82.60588235294118,4.39411764705882,170,0,13.262110409463112
1,22,2.4394904458598727,6,5,21,2.663469829669933,0.3653846153846153,96,92.7452229299363,3.254777070063696,157,10,43.40147657619045
10,20,16.666666666666668,10,0,10,5.773502691896257,5.0,94,94.0,0.0,3,0,0.4429023116192404
7,50,24.21276595744681,41,34,43,12.964131016351171,1.7214285714285715,73,68.08510638297872,4.914893617021278,141,70,10.025686513258025
22,50,35.285714285714285,22,0,28,12.957806986707354,4.666666666666667,80,77.14285714285714,2.857142857142861,7,0,0.5015114485152584
1,50,23.67948717948718,1,0,49,17.056433138904254,1.207792207792208,98,94.46153846153848,3.538461538461519,78,0,5.039755044640134
33,49,43.166666666666664,33,0,16,5.149286505444373,3.5454545454545454,74,63.75,10.25,12,0,2.2766868949112826
17,50,33.41904761904762,19,2,33,9.234947161963037,1.3076923076923077,84,83.48571428571428,0.5142857142857196,105,1,11.52912644615626
26,46,37.904761904761905,26,0,20,5.300044923439442,1.6,77,77.0,0.0,21,0,3.3333095644872444
50,50,50.0,50,0,0,0.0,0.0,78,78.0,0.0,1,0,1.0
11,47,32.125,45,34,36,10.682421562304242,13.26086956521739,71,69.58333333333333,1.4166666666666714,24,2,3.9375398118168023
34,34,34.0,34,0,0,0.0,0.0,50,50.0,0.0,1,0,1.0
1,50,28.88135593220339,1,0,49,15.427343331490349,2.7413793103448274,89,86.22033898305085,2.7796610169491487,59,0,7.731012704686565
2,47,18.20689655172414,2,0,45,14.45035666970796,2.107142857142857,98,94.44827586206895,3.5517241379310462,29,0,1.8769793228694536
17,49,32.875,17,0,32,12.158917949977528,4.571428571428571,86,71.625,14.375,8,0,0.6079527230438929
21,21,21.0,21,0,0,0.0,0.0,68,68.0,0.0,1,0,1.0
46,46,46.0,46,0,0,0.0,0.0,0,0.0,0.0,2,0,2.0
21,49,42.25,21,0,28,7.158910531638177,4.421052631578948,69,60.35,8.649999999999999,20,0,2.819003825426429
14,50,30.28846153846154,50,36,36,10.3362872322173,2.0387096774193547,80,76.90384615384616,3.0961538461538396,156,10,14.113968420391291
4,40,11.084033613445378,40,36,36,8.758124394761404,1.0,77,75.82352941176471,1.17647058823529,119,75,12.297445200065429
13,47,30.75,13,0,34,11.744299529072451,5.142857142857143,69,65.75,3.25,8,0,0.6277316365446608
27,50,39.806451612903224,50,23,23,6.64539617499067,3.2,86,82.25806451612904,3.741935483870961,31,4,4.185525415239721
10,50,31.75294117647059,10,0,40,8.650496658399147,2.1547619047619047,75,71.83529411764705,3.1647058823529477,85,0,8.807836840813957
9,48,24.571428571428573,23,14,39,10.476923251898038,1.120481927710843,94,92.26190476190476,1.7380952380952408,84,16,7.319034740962322
