song_id,entry_date,exit_date,days_on_playlist,best_rank,worst_rank,avg_rank,peak_popularity,avg_popularity
0 confianza_rvfv,2025-06-02,2025-06-23,22,23,42,29.65,62,57.55
"1 de enero, puntacana_rels b",2025-04-28,2025-04-28,1,45,45,45.0,65,65.0
1000cosas_lola indigo & manuel turizo,2025-03-10,2025-11-13,249,3,44,20.428571428571427,81,76.17142857142858
100xciento_foreign teck & eladio carrion & de la ghetto,2025-04-30,2025-05-15,16,13,42,28.181818181818183,75,73.72727272727273
14 febreros_quevedo,2025-11-24,2025-11-27,4,9,16,13.5,68,65.75
2:00 am_sebastian yatra & bad gyal,2025-11-24,2025-11-27,4,31,47,39.5,64,60.0
2xll_jc reyes & yovngchimi & slayter,2025-07-12,2025-08-09,29,35,50,40.76923076923077,71,68.8076923076923
3 caídas_saiko,2025-04-28,2025-05-05,8,13,47,30.75,69,65.75
4 prez_cruz cafuné,2024-05-28,2024-05-29,2,35,46,40.5,56,54.5
4to 23_aitana,2025-07-07,2025-07-16,10,17,50,35.0,69,65.22222222222223
50 palos_feid,2024-12-02,2024-12-02,1,38,38,38.0,0,0.0
57_karol g & feid & dfzm,2025-11-10,2025-11-27,18,8,41,17.833333333333332,85,80.11111111111111
58_jhayco,2025-09-08,2025-09-18,11,35,49,44.0,68,65.0
69_nicky jam & feid,2024-05-21,2024-06-30,41,22,49,36.048780487804876,87,83.53658536585365
a 300_jc reyes & pedro calderon,2024-08-06,2025-01-05,153,15,50,29.06081081081081,78,76.50675675675676
a 300_jc reyes & pedro calderon & blacknife,2025-01-06,2025-04-24,109,11,34,20.72897196261682,79,77.46728971962617
a new star (2 0 2 4)_rels b,2025-05-09,2025-05-30,22,32,50,40.5625,76,75.375
acho pr_bad bunny,2024-10-14,2024-10-20,7,15,48,30.428571428571427,85,69.57142857142857
acróstico_shakira,2024-05-18,2024-07-09,53,1,50,18.339622641509433,92,90.84905660377359
adivino_myke towers,2025-08-24,2025-11-16,85,10,50,31.75294117647059,75,71.83529411764705
adivino_myke towers & bad bunny,2025-04-28,2025-08-23,118,1,28,9.818965517241379,90,87.77586206896552
akureyri_aitana & sebastian yatra,2025-04-28,2025-06-01,35,10,49,27.88235294117647,77,74.6470588235294
alakran_feid,2024-12-02,2024-12-05,4,24,48,39.333333333333336,73,47.0
alegría_tiago pzk,2025-09-28,2025-10-05,8,8,48,20.0,74,73.125
all i want for christmas is you_mariah carey,2024-12-03,2025-01-02,31,1,49,32.95,100,99.0
alucin_eugenio esquivel & grupo marca registrada & sebastian esquivel,2025-01-13,2025-04-05,83,21,49,39.48571428571429,91,89.45714285714286
amanece_anuel aa & haze,2024-05-25,2025-07-06,408,47,50,48.53333333333333,85,81.46666666666667
amaneció_quevedo,2025-11-24,2025-11-27,4,13,19,17.0,68,65.5
amar de nuevo_rauw alejandro,2025-11-17,2025-11-17,1,45,45,45.0,64,64.0
amargura_karol g,2024-05-26,2025-10-31,524,16,50,32.76470588235294,92,87.41176470588235
andando_morad,2024-05-18,2024-06-03,17,34,50,41.1764705882353,76,72.6470588235294
antes_rvfv & edu garcía,2024-05-18,2024-07-22,66,29,50,42.0,79,78.1896551724138
antidepresivos_saiko,2024-08-06,2024-12-19,136,13,50,29.779411764705884,79,77.04411764705883
apaga el cel_floyymenor,2025-08-10,2025-09-04,26,22,50,38.57142857142857,72,59.142857142857146
apaga el cel_floyymenor & lewis somes,2025-05-26,2025-08-09,76,7,48,18.76,87,82.92
apt._rosé & bruno mars,2025-10-23,2025-11-01,10,42,47,44.42857142857143,96,92.14285714285714
aqyne_aitana,2024-09-27,2024-09-29,3,40,41,40.333333333333336,73,72.33333333333333
arena y sal_omar montes & saiko & tunvao,2024-05-21,2025-01-20,245,3,48,20.024793388429753,86,80.00413223140495
arranca (feat. omega)_becky g & omega,2024-05-18,2024-07-25,69,38,50,44.21739130434783,86,84.55072463768116
